Player,Team,Position,GP,MIN,Points,FGM,FGA,Shooting %,3PM,3PA,3 Point %,FTM,FTA,Free Throw %,Rebounds,Assists,Steals,Blocks,Turnovers,DD2,TD3,PER
Josh Hart,NO,SG,47,28.7,9.2,3.2,7.3,43.9,1.3,4.1,32.6,1.5,1.9,77.5,8,2.3,0.8,0.3,1,7,0,12.18
Myles Turner,IND,C,47,31,12.6,4.4,9.2,47.7,1.5,4.4,33.5,2.4,3,78.2,6.5,1,0.9,3.4,1.4,7,0,15.36
Caris LeVert,HOU,SG,47,31.6,20.2,7.6,17.3,44.1,1.8,5.5,32.6,3.1,3.8,81.1,4.6,5.2,1.4,0.6,2.2,6,0,17.85
CJ McCollum,POR,SG,47,34,23.1,8.6,18.8,45.8,3.6,8.9,40.2,2.3,2.8,81.2,3.9,4.7,0.9,0.4,1.4,2,0,20.81
Nickeil Alexander-Walker,NO,SG,46,21.9,11,4.2,10,41.9,1.7,4.8,34.7,1,1.4,72.7,3.1,2.2,1,0.5,1.5,0,0,12.58
Wayne Ellington,DET,SG,46,22,9.6,3.2,7.3,44.1,2.5,6,42.2,0.6,0.8,80,1.8,1.5,0.4,0.2,0.7,0,0,12.27
Blake Griffin,DET,PF,46,25.8,11,3.8,8.9,42.3,1.5,4.5,34.1,1.9,2.5,74.4,4.9,3,0.7,0.3,1.3,2,0,12.93
Andre Drummond,CLE,C,46,27,14.9,6.1,12.4,49.3,0,0.2,0,2.7,4.5,60,12,2,1.4,1.1,2.7,28,0,19.46
Terrence Ross,ORL,SG,46,29.3,15.6,5.5,13.4,41.2,1.9,5.7,33.7,2.6,3,87,3.4,2.3,1,0.5,1.6,0,0,13.25
Kyle Lowry,TOR,PG,46,34.8,17.2,5.7,13,43.6,2.8,7.2,39.6,3,3.5,87.5,5.4,7.3,1,0.3,2.7,9,2,16.49
Taj Gibson,NY,C,45,20.8,5.4,2.2,3.5,62.7,0.1,0.3,20,0.9,1.2,72.7,5.6,0.8,0.7,1.1,0.5,0,0,16.05
Kenyon Martin Jr.,HOU,SF,45,23.7,9.3,3.6,7.1,50.9,0.8,2.1,36.5,1.3,1.9,71.4,5.4,1.1,0.7,0.9,0.8,4,0,14.65
Aleksej Pokusevski,OKC,C,45,24.2,8.2,3.1,9.1,34.1,1.3,4.6,28,0.7,0.9,73.8,4.7,2.2,0.4,0.9,2.2,1,0,6.18
Chuma Okeke,ORL,PF,45,25.2,7.8,3,7.2,41.7,1.1,3.1,34.8,0.7,0.9,75,4,2.2,1.1,0.5,0.8,0,0,11.78
LeBron James,LAL,SF,45,33.4,25,9.4,18.3,51.3,2.3,6.3,36.5,4,5.7,69.8,7.7,7.8,1.1,0.6,3.7,18,5,24.32
Ish Smith,WSH,PG,44,21,6.7,2.9,6.8,43.4,0.4,1.1,36.7,0.4,0.8,57.6,3.4,3.9,0.7,0.3,0.9,0,0,11.68
Bogdan Bogdanovic,ATL,SG,44,29.7,16.4,6.1,12.8,47.3,3.3,7.6,43.8,0.9,1,90.9,3.6,3.3,1.1,0.3,1.2,0,0,17.63
Gordon Hayward,CHA,SF,44,34,19.6,7.1,15,47.3,1.9,4.7,41.5,3.5,4.2,84.3,5.9,4.1,1.2,0.3,2.1,2,0,17.65
James Harden,HOU,SG,44,36.6,24.6,7.8,16.7,46.6,2.8,7.6,36.2,6.3,7.3,86.1,7.9,10.8,1.2,0.8,4,32,12,24.58
